Venue,Date,Description,Location,
Chilifest,4/1/05,,"Snook, TX",
Texas Crawfish & Music Festival,4/23/05,,"Spring, TX",
Private   ,4/30/05,,"Houston, TX",
Puffabelly's,5/25/05,,"Spring, TX",
Armadillo Palace,5/26/05,,"Houston, TX",
Private   ,6/5/05,,"Pilot Point, TX",
Private   ,6/11/05,,"Concan, TX",
Home Bar,6/18/05,,"Dallas, TX",
Private   ,7/22/05,,"Austin, TX",
House Concert,1/20/06,,"Middleton, WI",
Escape Java Joint,7/6/06,,"Madison, WI",
Private   ,7/30/06,,"Chicago, IL",
Private   ,8/4/06,,"Middleton, WI",
Private   ,8/12/06,,"Madison, WI",
Back to the Country with Bill Malone,8/23/06,,"Madison, WI",
Pazzo's,8/23/06,,"Kenosha, WI",
Private   ,9/15/06,,"Chicago, IL",
Weary Traveler,10/11/06,,"Madison, WI",
Wonder's Pub,11/18/06,,"Madison, WI",
Brocach,11/26/06,,"Madison, WI",
Crystal Corner Bar,12/2/06,,"Madison, WI",
Crystal Corner Bar,2/10/07,,"Madison, WI",
Saengerhalle,2/11/07,,"New Braunfels, TX",
Wonder's Pub,2/15/07,,"Madison, WI",
Golden Light Cantina,2/20/07,,"Amarillo, TX",
Wonder's Pub,2/22/07,,"Madison, WI",
Wonder's Pub,3/1/07,,"Madison, WI",
Wonder's Pub,3/8/07,,"Madison, WI",
Caf_ Montmartre,3/10/07,,"Madison, WI",
Wonder's Pub,3/15/07,,"Madison, WI",
Wonder's Pub,3/22/07,,"Madison, WI",
Dane County Farmers Market,3/24/07,,"Madison, WI",
Pastures of Plenty with John Fabke,3/27/07,,"Madison, WI",
Caf_ Montmartre,3/27/07,,"Madison, WI",
Club Tavern,3/29/07,,"Middleton, WI",
Poor David's Pub,4/19/07,,"Dallas, TX",
Tavern In The Gruene,4/24/07,,"New Braunfels, TX",
Poor David's Pub,4/25/07,,"Dallas, TX",
Tavern In The Gruene,4/26/07,,"New Braunfels, TX",
FIJI Island,4/27/07,,"College Station, TX",
Café Montmartre,4/28/07,,"Madison, WI",
Riley Tavern,4/29/07,,"Verona, WI",
Puffabelly's,5/2/07,,"Spring, TX",
The Tap In,5/3/07,,"Grapevine, TX",
Bedford Street Pub,5/4/07,,"Abilene, TX",
Arlington Highlands,5/5/07,,"Arlington, TX",
Mickey's Tavern,5/10/07,,"Madison, WI",
Lakeside Ballroom,5/11/07,,"Guttenberg, IA",
Lake Robbins Ballroom,5/12/07,,"Woodward, IA",
Kerrville Folk Festival,5/26/07,,"Kerrville, TX",
Kerrville Folk Festival,5/27/07,,"Kerrville, TX",
Austin Wine Festival,5/28/07,,"Austin, TX",
Tyranena Brewery,6/2/07,,"Lake Mills, WI",
Old Grande Bar & Grill,6/5/07,,"Tyler, TX",
Private Party,6/8/07,,"Austin, TX",
Rowdy Float Trip,6/9/07,,"New Braunfels, TX",
Dosey Doe,6/12/07,,"Woodlands, TX",
Poor David's Pub,6/14/07,,"Dallas, TX",
Luckenbach,6/16/07,,"Luckenbach, TX",
Midnight Rodeo,6/22/07,,"Austin, TX",
Blanco's,6/29/07,,"Houston, TX",
Private Party,6/30/07,,"Canyon Lake, TX",
White Elephant,7/4/07,,"Fort Worth, TX",
Luckenbach Dancehall,7/5/07,,"Luckenbach, TX",
House Concert,7/6/07,,"Tyler, TX",
Mucky Duck,7/8/07,,"Houston, TX",
Hook Lakeside Bar & Grill,7/13/07,,"Bryan, TX",
Floores,7/14/07,,"Helotes, TX",
State Line,7/18/07,,"El Paso, TX",
Adair's Saloon,7/19/07,,"Dallas, TX",
Fitzwilly's,7/20/07,,"College Station, TX",
Mark Dean's BBQ,7/21/07,,"Azle, TX",
Poor David's Pub,7/28/07,,"Dallas, TX",
Momo's,8/1/07,,"Austin, TX",
Cotton Belt BBQ,8/2/07,,"North Richland Hills, TX",
Private Party,8/3/07,,"Dallas, TX",
Dosey Doe,8/4/07,,"Woodlands, TX",
Tailgating Training Camp-Sunset Station,8/4/07,,"San Antonio, TX",
SAE Frat House,8/6/07,,"Austin, TX",
Momo's,8/8/07,,"Austin, TX",
Hill's Café,8/9/07,,"Austin, TX",
Frio Fandango,8/10/07,,"Concan, TX",
Frio Fandango,8/11/07,,"Concan, TX",
Blanco's,8/16/07,,"Houston, TX",
Borski's,8/17/07,,"Willis, TX",
Muldoon's Saloon,8/18/07,,"El Campo, TX",
Adair's Saloon,8/23/07,,"Dallas, TX",
Auslander's,8/25/07,,"Fredericksburg, TX",
Tavern in the Gruene,8/28/07,,"New Braunfels, TX",
Hill's Café,8/29/07,,"Austin, TX",
Gruene Hall,8/30/07,,"New Braunfels, TX",
Café Riverstone- Back Porch,8/31/07,,"Kerrville, TX",
Private Party,9/1/07,,"Canyon Lake, TX",
Flipnotics,9/3/07,,"Austin, TX",
Executive Surf Club,9/6/07,,"Corpus Christi, TX",
Private Party,9/7/07,,"Austin, TX",
Crystal Corner Bar,9/8/07,,"Madison, WI",
Hill's Café,9/9/07,,"Austin, TX",
Circle C Golf Club,9/10/07,,"Austin, TX",
Jovita's,9/14/07,,"Austin, TX",
Pickin in the Pines,9/15/07,,"Mineola, TX",
Executive Surf Club,9/20/07,,"Corpus Christi, TX",
Midnight Rodeo,9/21/07,,"Austin, TX",
The Bugle Boy,9/22/07,,"La Grange, TX",
Bedford St. Pub,9/26/07,,"Abilene, TX",
The Blue Light Live,9/27/07,,"Lubbock, TX",
Love and War,9/29/07,,"Grapevine, TX",
Tut's Bar & Grill,9/30/07,,"Conroe, TX",
Momo's,10/1/07,,"Austin, TX",
Children's Rehabilitation Center,10/4/07,,"Midland, TX",
Tommy Alverson Gathering,10/5/07,,"Meridian, TX",
The Hook,10/6/07,,"Bryan, TX",
Momo's,10/8/07,,"Austin, TX",
Texas Hall of Fame,10/10/07,,"Bryan, TX",
FBG Event Center,10/11/07,,"Fredericksburg, TX",
Private Party,10/12/07,,"Amarillo, TX",
The Green Elephant - Ch'Arry Fest,10/13/07,,"Dallas, TX",
Momo's,10/15/07,,"Austin, TX",
Adair's Saloon,10/18/07,,"Dallas, TX",
Wild Hog in the Woods,10/19/07,,"Madison, WI",
Wonder's Pub,10/20/07,,"Madison, WI",
Pappasitos,10/25/07,,"Houston, TX",
Love and War,10/26/07,,"Plano, TX",
Lone Star Music,10/27/07,,"New Braunfels, TX",
UT FIJI - Phi Gamma Delta,10/27/07,,"Austin, TX",
Mucky Duck,10/28/07,,"Houston, TX",
Rolling Oaks Sports Bar & Grill,10/30/07,,"San Antonio, TX",
White Elephant,10/31/07,,"Fort Worth, TX",
Schotzi's - Fiji and KA Private Party,11/3/07,,"College Station, TX",
Antone's - Bring the Music Back Benefit,11/5/07,,"Austin, TX",
Momo's,11/7/07,,"Austin, TX",
FBG Event Center,11/8/07,,"Fredericksburg, TX",
All Good Café,11/9/07,,"Dallas, TX",
Private Party - TCU SAE's,11/10/07,,"Palo Pinto County, TX",
Momo's,11/14/07,,"Austin, TX",
Blanco's,11/15/07,,"Houston, TX",
Backporch Cantina at Café Riverstone,11/16/07,,"Kerrville, TX",
Executive Surf Club,11/17/07,,"Corpus Christi, TX",
Momo's,11/21/07,,"Austin, TX",
Coupland Dancehall,11/24/07,,"Coupland, TX",
Momo's,11/28/07,,"Austin, TX",
Love & War - Plano,11/29/07,,"Plano, TX",
Auslander Biergarten,11/30/07,,"Fredericksburg, TX",
City Limits,12/1/07,,"Stephenville, TX",
The Wolf - Front Porch Show,12/2/07,,"Dallas, TX",
Barley House,12/7/07,,"Dallas, TX",
Adair's Saloon,12/8/07,,"Dallas, TX",
Bill's Records,12/8/07,,"Dallas, TX",
The Ranch Roadhouse (@ Billy Bob's),12/9/07,,"Fort Worth, TX",
Gruene Hall,12/11/07,,"New Braunfels, TX",
Momo's,12/12/07,,"Austin, TX",
Cotton Belt BBQ,12/13/07,,"N. Richland Hills, TX",
Schroeder Hall,12/14/07,,"Goliad, TX",
Bootlegger's,12/15/07,,"Tyler, TX",
Momo's,12/19/07,,"Austin, TX",
Cypress Saloon,12/21/07,,"Cypress, TX",
Auslander Biergarten,12/22/07,,"Fredericksburg, TX",
Momo's,12/27/07,,"Austin, TX",
Blanco's,12/31/07,,"Houston, TX",
Momo's,1/2/08,,"Austin, TX",
Love and War,1/5/08,,"Plano, TX",
Saxon Pub,1/7/08,,"Austin, TX",
Gruene Hall,1/10/08,,"New Braunfels, TX",
TAFE Convention Showcase,1/11/08,,"Austin, TX",
Blaine's Pub,1/12/08,,"San Angelo, TX",
Galleywinter Listening Party,1/14/08,,online,
Schotzi's,1/15/08,,"College Station, TX",
Blue Light Live,1/17/08,,"Lubbock, TX",
Backporch Cantina at Café Riverstone,1/19/08,,"Kerrville, TX",
Momo's,1/23/08,,"Austin, TX",
Poor David's Pub,1/24/08,,"Dallas, TX",
Elm Casino,1/25/08,,"Sand Springs, OK",
Clubhouse Concerts @ White Elephant,1/27/08,,"Fort Worth, TX",
Songwriters Front Porch @ SA Rodeo,2/4/08,,"San Antonio, TX",
JD McCliments,2/7/08,,"Putney, VT",
Radio Bean,2/8/08,,"Burlington, VT",
Sea Dog Brewery,2/9/08,,"Bangor, ME",
Arlene's Grocery,2/12/08,,"New York, NY",
Parkside Lounge,2/12/08,,"New York, NY",
Baltimore Chop,2/13/08,,"Baltimore, MD",
Buck Wild Ultra Saloon,2/15/08,,"Charlotte, NC",
Berkeley Café,2/16/08,,"Raleigh, NC",
The Garage,2/19/08,,"Winston Salem, NC",
International Folk Alliance Conference Performances,2/21/08,,"Memphis, TN",
International Folk Alliance Conference Performances,2/22/08,,"Memphis, TN",
International Folk Alliance Conference Performances,2/23/08,,"Memphis, TN",
International Folk Alliance Conference Performances,2/24/08,,"Memphis, TN",
Private- Houston Texans sponsors,2/28/08,,"Houston, TX",
Private - Miller Home,2/29/08,,"Fort Worth, TX",
Private - AK's Bar,3/1/08,,"Allen, TX",
Executive Surf Club,3/6/08,,"Corpus Christi, TX",
Schroeder Dance Hall,3/8/08,,"Goliad, TX",
Gruene Hall,3/9/08,,"New Braunfels, TX",
Houston Livestock Show and Rodeo,3/11/08,,"Houston, TX",
John Deere Display @ Houston Rodeo,3/11/08,,"Houston, TX",
Sam's Burger Joint Music Hall,3/12/08,,"San Antonio, TX",
Star of Texas Fair and Rodeo,3/14/08,,"Austin, TX",
Hank's Texas Grill,3/15/08,,"McKinney, TX",
Overtime Sports Bar & Grill,3/19/08,,"Burleson, TX",
The Hook Lakeside Bar & Grill,3/20/08,,"Bryan, TX",
Blanco's,3/27/08,,"Houston, TX",
Auslander Biergarten,3/28/08,,"Fredericksburg, TX",
Green Fest - Rolling Oaks,3/29/08,,"San Antonio, TX",
Love and War in Texas,4/3/08,,"Grapevine, TX",
Chilifest,4/4/08,,"Snook, TX",
Love and War in Texas,4/5/08,,"Plano, TX",
Songwriters on the Edge of Texas***,4/6/08,,"Texarkana, TX",
Mucky Duck***,4/8/08,,"Houston, TX",
8.0's,4/9/08,,"Fort Worth, TX",
3rd and Lindsley***,4/11/08,,"Nashville, TN",
Patrick Sullivan's***,4/12/08,,"Knoxville, TN",
The Cave***,4/13/08,,"Chapel Hill, NC",
Bohemian Café***,4/15/08,,"Greenville, SC",
Puckett's Farm Equipment***,4/16/08,,"Charlotte, NC",
Village Tavern***,4/17/08,,"Mt. Pleasant, SC",
The Atlanta Room @ Smith's Olde Bar***,4/18/08,,"Atlanta, GA",
Owen Temple at Eighth and Rail,4/19/08,Songswap with Jason Eady and Adam Carroll,Eighth and Rail in Opelika AL,
White Water Tavern in Little Rock AR at 10pm,4/22/08,with Jason Eady and Adam Carroll,Little Rock AR,
LJT Texas Music Festival in Stephenville TX,4/24/08,,Stephenville TX,
Private in Kilgore TX at 8pm,5/2/08,,Kilgore TX,
Bootleggers in Tyler TX at 10pm,5/3/08,,Tyler TX,
Mobile Loaves and Fishes Fundraiser,5/10/08,,"12200 Carl RdCreedmoor, Texas",
Puffabellys,5/14/08,with Davin James,"100 Main StSpring Texas",
Cheatham Street Warehouse,5/16/08,"<a href=""http://www.cheathamstreet.com"" target=""_blank"" ><img src=""http://i194.photobucket.com/albums/z293/owentemp/cheathamstreet.jpg  width =""150"" ></a>","119 Cheatham StSan Marcos, Texas",
Schroeder Dancehall,5/17/08,with Two Tons of Steel,"12516 FM 622Goliad, TX",
Austin Wine Festival @ The Domain,5/24/08,,"11410 Century Oaks TerraceAustin Texas",
Private,5/31/08,,"Timpson, Texas",
Luckenbach,6/2/08,,"412 Luckenbach Town LoopFredericksburg, Texas 78624",
River City Grille,6/3/08,,"700 1st StMarble Falls, TX 78654",
Love & War in Texas,6/7/08,,"601 E Plano PkwyPlano, TX",
Guadapalooza @ Rolling Oaks,6/8/08,"with Jason Boland, Walt Wilkins, and others","5550 Mountain VistaSan Antonio, TX",
Armadillo Palace,6/12/08,,"5015 Kirby DrHouston TX 77098",
House Concert,6/14/08,,Van Alstyne TX,
Blanco's,6/19/08,"For more info, (713) 439-0072","3406 W Alabama StHouston, TX",
Private - Sons of Hermann Hall,6/20/08,,"Dallas, TX",
River Road Ice House,6/21/08,with Zona Jones,"1791 Hueco Spring LoopNew Braunfels, TX",
Floore's Country Store,6/27/08,"With McKay BrothersFor more info, (210) 695-8827?","14464 Old Bandera RdHelotes, TX",
Private,6/28/08,,Midlothian TX,
July Jubilee,7/5/08,,"Brady, TX",
White Elephant,7/11/08,,"106 E Exchange AveFort Worth, TX 76106",
House Concert,7/25/08,with Steve Simmons,"Bullard, TX",
Rodney Hayden Music Festival @ Wildcat Saloon,7/26/08,"Tickets $15Performers include Dale Watson, Two Tons of Steel, Sunny Sweeney, Gary P. Nunn, Drew Kennedy, and more....For more info, www.rodneyhayden.com","2205 Farm-to-Market Road 541McCoy, TX",
Cheatham Street Warehouse,7/31/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com","119 Cheatham StreetSan Marcos, TX",
The Saxon Pub,8/1/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com","1320 South LamarAustin TX 78704",
Love & War in Texas,8/2/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com","601 E Plano PkwayPlano, TX",
Gruene Hall,8/3/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.comAlso- Celebrating Adam Carroll's CD Release....","1281 Gruene RdNew Braunfels, TX",
McGonigel's Mucky Duck,8/5/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com","2425 Norfolk StHouston, TX",
Sam's Burger Joint,8/6/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com or 210.223.2830","330 E. Grayson StreetSan Antonio, TX",
Lakeside Icehouse @ Lake Bryan,8/7/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com or call (979) 361-0861","8200 Sandy Point RdBryan TX",
Frio Fandango,8/8/08,"The Second Annual Owen Temple Frio Fandango will be held Friday August 8th and Saturday August 9th near Concan, Texas in beautiful northern Uvalde County (about 80 miles west of San Antonio on Highway 90). The weekend will be a gathering of like minded folks enjoying music and good times on the Frio River in the Texas Hill Country.http://www.myspace.com/owentemplefriofandangohttp://tickets.frontgatetickets.com/choose.php?a=1&lid=22825&eid=27859Friday night will be an exclusive (open only to Fandango wristband holders) acoustic concert outdoors by Owen Temple, Adam Carroll and Jason Eady at a cabin by the Frio River.Additionally on Saturday night, August 9th, 2008, the Frio Fandango will host an open-to-the-public full Owen Temple Band show, with special guest Modern Day Drifters at House Pasture Cattle Company on River Road in Concan, Texas.","River RdConcan, TX",
House Pasture Cattle Company,8/9/08,"The Second Annual Owen Temple Frio Fandango will be held Friday August 8th and Saturday August 9th near Concan, Texas in beautiful northern Uvalde County (about 80 miles west of San Antonio on Highway 90). The weekend will be a gathering of like minded folks enjoying music and good times on the Frio River in the Texas Hill Country.Friday night will be an exclusive (open only to Fandango wristband holders) acoustic concert outdoors by Owen Temple, Adam Carroll and Jason Eady at a cabin by the Frio River.Additionally on Saturday night, August 9th, 2008, the Frio Fandango will host an open-to-the-public full Owen Temple Band show, with special guest Modern Day Drifters at House Pasture Cattle Company on River Road in Concan, Texas.","N River RdConcan, TX",
Clubhouse Concerts - The White Elephant Saloon,8/10/08,"The Ramblin Revival Tour with Owen Temple, Adam Carroll, and Jason EadyFor more info, htttp://www.ramblinrevival.com","106 E Exchange AveFort Worth, TX",
River Road Icehouse,8/13/08,"5-7pm, For more info, (830) 626-1335?","1791 Hueco Springs Loop RNew Braunfels, TX 78132",
Love and War in Texas,8/15/08,"For more info, 972.422.6201","601 E. Plano PkwyPlano, TX 75074",
Puffabelly's,8/20/08,,Old Town Spring TX,
Gruene Hall,8/24/08,"5-9pm, For more info, (830) 606-1281?","1281 Gruene RdNew Braunfels, TX 78130",
Ramblin Revival Song Workshop @ Inn of the Hills,8/29/08,"On Labor Day Weekend, Owen, Adam and Jason will share perspectives on songwriting with workshop participants in the Texas Hill Country. The workshop will be limited to 20 folks who are interested in learning more about the craft of songwriting and how these songwriters go about putting together songs.Over a series of one-on-one meetings and small group sessions, folks who come to the workshop can hear each songwriter give a process-oriented perspective on creating songs. The objective will be to trade notes with workshop attendees to help them put together songs that meet their creative goals.Spots for the workshop will be limited to 20, and spots will be made available, first come first served.A registration fee of $400 includes two nights lodging at the Inn of the Hills (check-in on Friday August 29, stay Saturday August 30, check-out on Sunday, August 31), access to two days of workshop sessions, and all song workshop materials.Click link below to find out more about this year’s workshop.   http://www.ramblinrevival.com","1001 Junction HighwayKerrville, TX",
Cafe Riverstone - Back Porch Cantina in Kerrville TX,8/29/08,"The Ramblin Revival Tour with Adam Carroll, Owen Temple, and Jason Eady",Kerrville TX,
Blue Light Live,9/5/08,"For more info, (806) 762-1185","1806 Buddy Holly AveLubbock, TX 79401",
Saxon Pub,9/13/08,"Show at MidnightFor more info, (512) 448-2552","1320 S Lamar BlvdAustin, TX 78704",
Love and War in Texas,9/27/08,"For info, (972) 422-6201","601 E Plano PkwyPlano, TX 75074",
Private,10/4/08,,Stephenville TX,
Private,10/9/08,,Austin TX,
Tivy Alumni Association Benefit,10/11/08,,Kerrville TX,
Bostock's,10/16/08,"For more info, (254) 965-3311","1348 W Washington StStephenville, TX 76401",
Blue Door,10/17/08,"With Adam CarrollFor more info, (405) 524-0738","2805 N McKinley AveOklahoma City, OK 73106",
White Elephant Saloon,10/18/08,"For more info, (817) 624-8273","106 E. Exchange AveFort Worth, TX 76102",
Private,10/25/08,,Dallas TX,
"""Save the Old Quarter Acoustic Café"" Benefit",10/26/08,"Radio Free Texas Concert for the Coast Benefit Presents ""Save the Old Quarter Acoustic Café"" Sponsored by Cheatham Street Warehouse, Luckenbach Texas, Shiner, The Band of Heathens and Friendsnoon to 8pm ***All proceeds to help rebuild the Old Quarter Acoustic Café in Galveston, Texas. All day music including: Owen Temple, Jason Eady, Adam Carroll, The Gougers, The Band of Heathens, Ray Wylie Hubbard, Liz and Lincoln, Quincy Harper, John Greenberg, Will Owen Gage/James Pardo","412 Luckenbach Town LoopLuckenbach, Texas 78624",
The Inn Pub,10/27/08,"songswap w/ Adam CarrollFor more info, (830) 895-5000","1001 Junction HwyKerrville, TX 78028",
George's Majestic Lounge,10/29/08,"with Adam Carroll For more info, (479) 442-4226","519 W Dickson St Fayetteville, Arkansas 72701",
White Water Tavern,10/30/08,"For more info, (501) 375-8400Songswap w/ Adam Carroll","2500 W 7th StLittle Rock, AR 72205",
Alchemy,11/5/08,"For more info, (608) 204-7644songswap w/ Adam Carroll","1980 Atwood AveMadison, WI 53704",
Turtle Creek Casino & Hotel,11/6/08,"For more info, (231) 534-8888songswap w/ Adam Carroll","7741 M 72 EWilliamsburg, MI 49690",
Leslie Science & Nature Center - House Concert,11/7/08,"""Nature House""with Adam Carroll (www.adamcarroll.com)Show Open to the PublicShow time 7:30 p.m.$10 suggested donationRSVP required, limit 40 Email Robert Blackburn at robertblackburn_2000@yahoo.com to make your reservation","1831 Traver RoadAnn Arbor, MI 48105",
The Original Road House,11/8/08,"For more info, (330) 426-3380?","49522 State Route 14East Palestine, OH 44413",
Indy Hostel,11/9/08,"For more info, (317) 727-1696Songswap w/ Adam Carroll","4903 Winthrop AveIndianapolis, IN 46205",
Blue Light Live,11/13/08,"For more info, (806) 762-1185","1806 Buddy Holly AveLubbock, TX 79401",
Steel Penny Pub,11/14/08,"For more info, (325) 949-5161","2400 College Hills BlvdSan Angelo, TX 76904",
Sam's Burger Joint,11/19/08,"For more info, (210) 223-2830","330 E Grayson StSan Antonio, TX",
Private,11/21/08,,"Dallas, TX",
Puffabelly's,12/3/08,"With Davin JamesFor more info, (281) 350-3376","100 Main StSpring, TX 77373",
Schroeder Hall,12/5/08,"For more info, (361) 573.7002songswap w/ Adam Carroll","12516 FM 622Goliad, TX 77963",
White Elephant Saloon,12/6/08,"For more info, (817) 624-8273","106 E. Exchange AveFort Worth, TX 76102",
Clubhouse Concerts - Upstairs @ The White Elephant,12/14/08,"Clubhouse Concerts Acoustic Serieswith Susan Gibson and Charlie ShafterFor more info, (817) 624-8273","106 E. Exchange AveFort Worth, TX 76102",
Old Quarter Acoustic Cafe,12/19/08,"For more info, (409) 762-9199Songswap with Adam Carroll","413 20th StGalveston, TX 77550",
Papa's on the Lake,12/20/08,"Songswap with Adam CarrollFree Show Sponsored by Crystal Clear Mortgage www.LoansOnLakeConroe.com Toll Free: 888-634-6911 For more info, (936) 447-2500?","14632 Highway 105 WMontgomery, TX 77356",
Bandera Saloon,12/21/08,"with Adam CarrollFor more info, (830) 796-3699","402 Main StBandera, TX 78003",
Gruene Hall,1/13/09,"Songswap with Adam CarrollFor more info, (830) 606-1281","1281 Gruene RdNew Braunfels, TX 78130",
Private,1/14/09,,Dallas TX,
Private,1/17/09,,Kerrville TX,
Clubhouse Concerts - Upstairs @ The White Elephant,1/25/09,"Clubhouse Concert Acoustic Serieswith Max StallingFor more info, (817) 624-8273","106 E. Exchange AveFort Worth, TX 76102",
Main Street Crossing,2/5/09,"For more info, (281) 290-0431Songswap with Drew Kennedy","111 W Main StTomball, TX 77375",
Blue Door,2/10/09,"with Adam CarrollFor more info,(405) 524-0738","2805 N Mckinley AveOklahoma City, OK 73106",
San Antonio Rodeo,2/14/09,"In the Miller Lite Blue River Dance Hall, 5:30-8:30 pm. For more info please visit: http://www.sarodeo.com/sarodeo/general/schedule_of_events/feb_14.html5:30 to 8:00","3201 E Houston SSan Antonio, TX 78219",
The Ranch Roadhouse (Rockett Cafe),2/15/09,"106.9 The Ranch Roadhouse at Rockett Cafehttp://www.myspace.com/rockettcafe","5790 FM 813Waxahachie TX 75165",
White Water Tavern,2/19/09,"Gary Floater Tribute CD Release Partywith Adam Carroll","2500 W 7th StLittle Rock, AR 72205",
Folk Alliance,2/20/09,Folk Alliance Conference,"250 North Main StreetMemphis TN 38103",
Folk Alliance,2/21/09,Folk Alliance Conference,"250 North Main StreetMemphis, TN 38103",
The Fairmount,3/5/09,"With Tommy AlversonFor more info, (817) 420-9455","600 W Magnolia AveFort Worth, TX 76104",
Adair's Saloon,3/6/09,"For more info, (214) 939-9900","2624 Commerce StDallas TX 75226",
Gruene Hall,3/10/09,"with Adam CarrollFor more info, (830) 606-1281","1281 Gruene RdNew Braunfels, TX 78130",
Floore's Country Store,3/14/09,"with Max StallingFor more info, (210) 695-8827?","14464 Old Bandera RdHelotes, Texas",
SXSW Official Showcase at St David's Church,3/18/09,"SXSW Official Showcase at St David's Church(Enter at corner of 8th and San Jacinto)","St. David’s Episcopal Church 301 E. 8th St. Austin, Texas 78701",
